ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.9117687 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31636.6], mutation: OptionalDouble[3089.7138477261115], entireMutation: OptionalDouble[56611.49799599199], copy: OptionalDouble[4545.460921843687], matching: OptionalDouble[19800.637968041974]>
<timeTaken: 1.9404362 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31424.955], mutation: OptionalDouble[3049.7049775581218], entireMutation: OptionalDouble[58071.00200400801], copy: OptionalDouble[4786.027054108216], matching: OptionalDouble[20397.506632357927]>
<timeTaken: 1.6563358 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27771.95], mutation: OptionalDouble[3160.013208697419], entireMutation: OptionalDouble[48095.06012024048], copy: OptionalDouble[4447.034068136272], matching: OptionalDouble[16420.681741074102]>
<timeTaken: 1.2940399 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21673.155], mutation: OptionalDouble[3011.4390587288817], entireMutation: OptionalDouble[36378.10621242485], copy: OptionalDouble[4306.177354709419], matching: OptionalDouble[11962.907851198235]>
<timeTaken: 1.653201 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28414.67], mutation: OptionalDouble[3097.4404281098546], entireMutation: OptionalDouble[47213.36172344689], copy: OptionalDouble[4432.645290581162], matching: OptionalDouble[16152.611679036549]>
<timeTaken: 1.6592699 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28029.52], mutation: OptionalDouble[3240.9771193749684], entireMutation: OptionalDouble[47995.11022044088], copy: OptionalDouble[4375.440881763527], matching: OptionalDouble[16442.333213414877]>
<timeTaken: 1.7113515 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28690.96], mutation: OptionalDouble[3308.447017367229], entireMutation: OptionalDouble[49689.95991983968], copy: OptionalDouble[4534.779559118237], matching: OptionalDouble[17135.37726378348]>
<timeTaken: 2.0370104 second(s), bestFitness: -3.0, evaluation: OptionalDouble[33148.67], mutation: OptionalDouble[3376.835], entireMutation: OptionalDouble[60877.36472945892], copy: OptionalDouble[4998.507014028056], matching: OptionalDouble[21359.559414696898]>
<timeTaken: 1.2882234 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21677.795], mutation: OptionalDouble[2960.183643610312], entireMutation: OptionalDouble[36257.38476953908], copy: OptionalDouble[4056.613226452906], matching: OptionalDouble[11934.105534105534]>
<timeTaken: 1.9936499 second(s), bestFitness: -3.0, evaluation: OptionalDouble[32173.015], mutation: OptionalDouble[3230.7343379869967], entireMutation: OptionalDouble[59816.30260521042], copy: OptionalDouble[4782.284569138276], matching: OptionalDouble[21061.22362953893]>
AVERAGES <averageevaluation: OptionalDouble[25516.318799999997], averagemutation: OptionalDouble[3241.5733556045016], averagetimeTaken: OptionalDouble[1.5693012400000002], averagebestFitness: OptionalDouble[-2.0151666666666666], averageentireMutation: OptionalDouble[45491.468236472945], averagecopy: OptionalDouble[4441.844238476954], averagematching: OptionalDouble[15003.479331563536]>
